"regular","reason","component","id_reac"
"0","nosmiles","crude product","US039308372"
"0","nosmiles","94g","US039310831"
"0","nosmiles","81g","US039310831"
"0","nosmiles","126g","US039310831"
"0","nosmiles","300g","US039310831"
"0","nosmiles","bis-(4-hydroxyphenyl)-methane(bisphenol-F)","US039311081"
"0","nosmiles","2,4-","US039311131"
"0","nosmiles","2,6- isomers","US039311131"
"0","nosmiles","triethyl amide","US039311392"
"0","nosmiles","ice water","US039311511"
"0","nosmiles","ice","US039311513"
"0","nosmiles","ice","US039311514"
"0","nosmiles","ice","US039311516"
"0","nosmiles","ice","US039311518"
"0","nosmiles","diazonium salt","US039311561"
"0","nosmiles","cuprous cyanide","US039311561"
"0","nosmiles","cuprous chloride","US039311562"
"0","nosmiles","acetyl","US039311564"
"0","nosmiles","hydrazo","US039311432"
"0","nosmiles","4-t-butylhydrazo-4-cyano-2,6-dimethylheptane","US039311433"
"0","nosmiles","ice water","US039311434"
"0","nosmiles","t-butylhydrazone","US039311436"
"0","nosmiles","t-butylhydrazone","US039311436"
"0","nosmiles","t-butylhydrazone","US039311438"
"0","nosmiles","t-butylhydrazone","US039311438"
"0","nosmiles","t-butylhydrazone","US0393114311"
"0","nosmiles","ice water","US0393114313"
"0","nosmiles","β-Lactam","US039311539"
"0","nosmiles","ice water","US039311681"
"0","nosmiles","acid chloride","US039311682"
"0","nosmiles","ice","US039311682"
"0","nosmiles","acid chloride","US039311683"
"0","nosmiles","ice","US039311683"
"0","nosmiles","ice HCl","US039311684"
"0","nosmiles","acid chloride","US039311685"
"0","nosmiles","acid chloride","US039311686"
"0","nosmiles","HCl ice","US039311687"
"0","nosmiles","ice","US039311688"
"0","nosmiles","product","US039311692"
"0","nosmiles","ice water","US039311692"
"0","nosmiles","aqueous solution","US039311723"
"0","nosmiles","ice water","US039311731"
"0","nosmiles","[ 3 ]","US039311662"
"0","nosmiles","[ 3 ]","US039311663"
"0","nosmiles","[ 3 ]","US039311664"
"0","nosmiles","crude mixture","US039311668"
"0","nosmiles","160","US0393116610"
"0","nosmiles","159","US0393116610"
"0","nosmiles","131","US0393116610"
"0","nosmiles","ketone","US0393116611"
"0","nosmiles","product","US0393116611"
"0","nosmiles","alcohol","US0393116613"
"0","nosmiles","ice water","US039311793"
"0","nosmiles","1-hydrazino-2-hexanol,3-(3,4 dichlorobenzoyl)-propionic acid","US039311761"
"0","nosmiles","mixture","US039311762"
"0","nosmiles","mixture","US039311883"
"0","nosmiles","hydrochloride salt","US039311883"
"0","nosmiles","ice water","US039311775"
"0","nosmiles","resultant mixture","US0393117715"
"0","nosmiles","3-(3-chloro-4-hydroxybenzoyl)propionic acids","US0393117715"
"0","nosmiles","ethanol-ether","US0393117720"
"0","nosmiles","ferrous sulphate heptahydrate","US0393117726"
"0","nosmiles","solution","US0393117727"
"0","nosmiles","ice water","US0393117728"
"0","nosmiles","diazonium sulphate","US0393117731"
"0","nosmiles","ice water","US0393117735"
"0","nosmiles","resultant solution","US0393117737"
"0","nosmiles","cuprous cyanide","US0393117737"
"0","nosmiles","ferrous sulphate","US0393117738"
"0","nosmiles","ferrous sulphate","US0393117739"
"0","nosmiles","resultant solution","US0393117740"
"0","nosmiles","cuprous cyanide","US0393117740"
"0","nosmiles","ice water","US0393117741"
"0","nosmiles","125.1g","US039311911"
"0","nosmiles","204.6g","US039311911"
"0","nosmiles","25g","US039311961"
"0","nosmiles","secondary phosphine oxide","US039311961"
"0","nosmiles","190","US039311963"
"0","nosmiles","( 41 )","US039311963"
"0","nosmiles","( 66 )","US039311963"
"0","nosmiles","( 100 )","US039311963"
"0","nosmiles","( 27 )","US039311963"
"0","nosmiles","( 50 )","US039311963"
"0","nosmiles","115g","US039311965"
"0","nosmiles","1-hydroxy-phosphindoline 1-oxide","US039311966"
"0","nosmiles","1-vinylphosphindoline 1-oxide","US039311967"
"0","nosmiles","anhydride","US039311953"
"0","nosmiles","monohydrate","US039311956"
"0","nosmiles","Example 2 ( a )","US039311956"
"0","nosmiles","5.9","US0393119521"
"0","nosmiles","amine","US0393119533"
"0","nosmiles","alcohol","US0393119540"
"0","nosmiles","oily nitrated product","US0393119541"
"0","nosmiles","Grignard reagent","US039311996"
"0","nosmiles","Grignard reagent","US039311996"
"0","nosmiles","ice water","US0393119914"
"0","nosmiles","ice water","US0393119915"
"0","nosmiles","ice water","US0393119920"
"0","nosmiles","ice water","US0393119921"
"0","nosmiles","ice water","US039312001"
"0","nosmiles","haloalkylpyridine","US039312005"
"0","nosmiles","methyl ester","US039312005"
"0","nosmiles","alcohol","US039312005"
"0","nosmiles","crude product","US039312021"
"0","nosmiles","amine","US039312014"
"0","nosmiles","amine","US039312014"
"0","nosmiles","ice water","US039312017"
"0","nosmiles","alcohol","US039312042"
"0","nosmiles","6α,7α-dimethanesulfonate ester","US039311673"
"0","nosmiles","6β,7β-dimethanesulfonyloxy-16β-methyl-16α,17α-oxido-4-pregnene-3,20-dione","US039311678"
"0","nosmiles","Grignard reagent","US0393120515"
"0","nosmiles","Grignard reagent","US0393120515"
"0","nosmiles","solution","US039312061"
"0","nosmiles","solution","US039312063"
"0","nosmiles","ether-pentane","US039312064"
"0","nosmiles","ethyl acetate petrol","US039312065"
"0","nosmiles","liquid","US039312101"
"0","nosmiles","2-(3'-hydroxyphenyl)-1-oxa-4-azospiro[4,5]decane hydrochloride","US039312121"
"0","nosmiles","acetyl","US039312161"
"0","nosmiles","solution","US039311551"
"0","nosmiles","ice","US039311553"
"0","nosmiles","HCl ice","US039311554"
"0","nosmiles","ice","US039311556"
"0","nosmiles","hydrochloride salt","US039311556"
"0","nosmiles","ice","US039311557"
"0","nosmiles","hydrochloride salt","US039311558"
"0","nosmiles","maleate salt","US039311559"
"0","nosmiles","base","US039312222"
"0","nosmiles","ice water","US039312222"
"0","nosmiles","prisms","US039312178"
"0","nosmiles","ice","US039312179"
"0","nosmiles","cuprous chloride","US039312179"
"0","nosmiles","hydrobromide salt","US039312263"
"0","nosmiles","hydrochloride salt","US039312264"
"0","nosmiles","needles","US039312265"
"0","nosmiles","crystals","US039312269"
"0","nosmiles","ψ-acid chloride","US039312184"
"0","nosmiles","ψ-acid chloride","US039312185"
"0","nosmiles","pyrroles","US039312281"
"0","nosmiles","title compounds","US039312323"
"0","nosmiles","5-(1-methylenyl-2-methyldecyl)resorcinol dimethyl ether","US039312328"
"0","nosmiles","5-(1,1-dimethyl-2-methylenylheptyl)resorcinol dimethyl ether","US0393123210"
"0","nosmiles","cupric chloride","US039312411"
"0","nosmiles","2B","US039312351"
"0","nosmiles","2B","US039312353"
"0","nosmiles","pure product m","US039312353"
"0","nosmiles","2B","US039312354"
"0","nosmiles","2B","US039312358"
"0","nosmiles","product","US039312359"
"0","nosmiles","product","US0393123510"
"0","nosmiles","tan crystals","US0393123512"
"0","nosmiles","ice water","US0393123519"
"0","nosmiles","ice water","US0393123524"
"0","nosmiles","pale yellow crystals","US0393123524"
"0","nosmiles","ice water","US0393123525"
"0","nosmiles","Ice","US0393123526"
"0","nosmiles","ice water","US0393123527"
"0","nosmiles","white crystals","US0393123527"
"0","nosmiles","colored solid","US0393123530"
"0","nosmiles","peroxide","US0393123531"
"0","nosmiles","off-white solid","US0393123531"
"0","nosmiles","off-white solid","US0393123532"
"0","nosmiles","Ice","US0393123536"
"0","nosmiles","colorless needles","US0393123536"
"0","nosmiles","ice water","US0393123537"
"0","nosmiles","cupric chloride dihydrate","US039312472"
"0","nosmiles","CuCl2","US039312474"
"0","nosmiles","ice water","US039312478"
"0","nosmiles","CuCl2","US039312479"
"0","nosmiles","ice H2O","US0393124710"
"0","nosmiles","CuCl2","US0393124711"
"0","nosmiles","ice water","US0393124712"
"0","nosmiles","ice water","US0393124714"
"0","nosmiles","ice","US039312391"
"0","nosmiles","ice water","US039312392"
"0","nosmiles","ice","US039312394"
"0","nosmiles","ice water","US039312395"
"0","nosmiles","ice water","US039312398"
"0","nosmiles","ice water","US0393123910"
"0","nosmiles","ice water","US0393123911"
"0","nosmiles","ice water","US0393123913"
"0","nosmiles","polyphosphoric acid","US0393123916"
"0","nosmiles","( a )","US039312501"
"0","nosmiles","[ 3 ]","US039312462"
"0","nosmiles","[ 3 ]","US039312463"
"0","nosmiles","[ 3 ]","US039312464"
"0","nosmiles","crude mixture","US039312468"
"0","nosmiles","160","US0393124610"
"0","nosmiles","159","US0393124610"
"0","nosmiles","131","US0393124610"
"0","nosmiles","ketone","US0393124611"
"0","nosmiles","product","US0393124611"
"0","nosmiles","alcohol","US0393124613"
"0","nosmiles","1,7- and 1,8-dinitroanthraquinone","US039312511"
"0","nosmiles","20","US039312531"
"0","nosmiles","overhydrogenated product","US039312532"
"0","nosmiles","hydrogen halide","US039312551"
"0","nosmiles","131","US039312451"
"0","nosmiles","146","US039312451"
"0","nosmiles","77","US039312451"
"0","nosmiles","[ 3 ]","US039312453"
"0","nosmiles","[ 3 ]","US039312454"
"0","nosmiles","[ 3 ]","US039312455"
"0","nosmiles","crude mixture","US039312459"
"0","nosmiles","160","US0393124511"
"0","nosmiles","159","US0393124511"
"0","nosmiles","131","US0393124511"
"0","nosmiles","ketone","US0393124512"
"0","nosmiles","product","US0393124512"
"0","nosmiles","anhydride","US0393124514"
"0","nosmiles","alcohol","US0393124515"
"0","nosmiles","compound ( 1 )","US0393124516"
"0","nosmiles","suspension","US039312683"
"0","nosmiles","ice water","US039312683"
"0","nosmiles","suspension","US039312861"
"0","nosmiles","stainless steel","US039312951"
"0","nosmiles","lactone","US039312791"
"0","nosmiles","polyphosphoric acid","US039312881"
"0","nosmiles","ice water","US039312881"
"0","nosmiles","aromatic amine","US039312981"
"0","nosmiles","200","US039313001"
"0","nosmiles","70","US039313001"
"0","nosmiles","diazonium salt","US039313002"
"0","nosmiles","L-Lysine-2","US039313081"
"0","nosmiles","acid chloride","US039313181"
"0","nosmiles","mixture","US039313231"
"0","nosmiles","mixture","US039313232"
"0","nosmiles","solution","US039313236"
"0","nosmiles","dicarboxylic acid","US039313021"
"0","nosmiles","solution","US039313025"
"0","nosmiles","ice water","US039313025"
"0","nosmiles","stannous chloride","US039313026"
"0","nosmiles","concentrated aqueous solution","US0393130212"
"0","nosmiles","sulfochromic mixture","US0393130219"
"0","nosmiles","chromic anhydride","US0393130219"
"0","nosmiles","solution","US0393130223"
"0","nosmiles","water ice","US0393130223"
"0","nosmiles","14N potassium hydroxide","US0393130224"
"0","nosmiles","ice","US0393130227"
"0","nosmiles","107.8g","US0393130229"
"0","nosmiles","ice water","US0393130229"
"0","nosmiles","solution","US0393130230"
"0","nosmiles","sulfochromic mixture","US0393130231"
"0","nosmiles","chromic anhydride","US0393130231"
"0","nosmiles","ice water","US0393130231"
"0","nosmiles","ice water","US0393130232"
"0","nosmiles","ice","US039313263"
"0","nosmiles","acetylenic carbinol","US039313269"
"0","nosmiles","( δ )","US039313269"
"0","nosmiles","ice water","US0393132610"
"0","nosmiles","dihydro","US0393132613"
"0","nosmiles","acetylenic ketone","US0393132613"
"0","nosmiles","bicyclic compound","US0393132617"
"0","nosmiles","oxime","US039313287"
"0","nosmiles","oxime","US039313288"
"0","nosmiles","suspension","US039313289"
"0","nosmiles","diethyl ester","US039313289"
"0","nosmiles","suspension","US0393132811"
"0","nosmiles","quartz","US039313484"
"0","nosmiles","ferrous sulfate","US039312691"
"0","nosmiles","122","US039314081"
"0","nosmiles","66","US039314081"
"0","nosmiles","247","US039314082"
"0","nosmiles","110","US039314082"
"0","nosmiles","oxybismethylene isobutyrate","US039314121"
"0","nosmiles","30-g","US039314121"
"0","nosmiles","88-g","US039314123"
"0","nosmiles","orange liquid","US039314072"
"0","nosmiles","crystals","US039314073"
"0","nosmiles","yellow oil","US039314074"
"0","nosmiles","pale yellow crystals","US039314075"
"0","nosmiles","yellow crystals","US039314076"
"0","nosmiles","yellow crystals","US039314077"
"0","nosmiles","solid","US039314078"
"0","nosmiles","solid","US039314079"
"0","nosmiles","pale yellow crystals","US0393140710"
"0","nosmiles","white solid","US0393140712"
"0","nosmiles","solid","US0393140713"
"0","nosmiles","colorless crystals","US0393140714"
"0","nosmiles","colorless crystals","US0393140715"
"0","nosmiles","liquid","US0393140716"
"0","nosmiles","crystals","US0393140717"
"0","nosmiles","crystals","US0393140718"
"0","nosmiles","liquid","US0393140719"
"0","nosmiles","crystals","US0393140720"
"0","nosmiles","cuprous cyanide","US0393140722"
"0","nosmiles","crystals","US0393140722"
"0","nosmiles","tan crystals","US0393140723"
"0","nosmiles","crystals","US0393140724"
"0","nosmiles","solid","US0393140725"
"0","nosmiles","off-white crystals","US0393140726"
"0","nosmiles","crystals","US0393140728"
