"source","target","role"
"FC(C1(OCC(O1)CO)C(F)(F)F)(F)F","US06231655B12","reactant"
"C1C(C)O1","US06231655B12","reactant"
"[OH-].[K+]","US06231655B12","reactant"
"C1CO1","US06231655B12","reactant"
"C1(=CC=CC=C1)C","US06231714B11","reactant"
"C(C=C)OC1=CC=C(CO)C=C1","US06231714B11","reactant"
"C(C(=C)C)(=O)O","US06231714B11","reactant"
"OC1=CC=C(C=C1)CCO","US06231714B12","reactant"
"C(C=C)Br","US06231714B12","reactant"
"C(C=C)OC1=C(C=CC=C1)OCCO","US06231714B13","reactant"
"C(C(=C)C)(=O)OC(C(=C)C)=O","US06231714B13","reactant"
"OCCOC1=C(C=CC=C1)O","US06231714B13","reactant"
"C(C=C)Br","US06231714B13","reactant"
"CCCCCCCCCC=1C=CC(=CC1)O","US06231784B11","reactant"
"CI","US06231784B11","reactant"
"CCOCC","US06231784B11","reactant"
"CCCCCCCCCC=1C=CC(=CC1)O","US06231784B11","reactant"
"CI","US06231784B11","reactant"
"C([O-])([O-])=O.[K+].[K+]","US06231784B11","reactant"
"C(C1=CC=CC=C1)C(COCC(CC1=CC=CC=C1)OCCCC)OCCCC","US06231784B12","reactant"
"C(CCC)OCCO","US06231784B12","reactant"
"C(C1=CC=CC=C1)Cl","US06231784B12","reactant"
"C(C1=CC=CC=C1)OC","US06231784B12","reactant"
"C1C(=CC2=C1C1=CC=CC=C1C=1C=CC=CC21)[Si](Cl)(C)C","US06231795B11","reactant"
"C(C)(C)(C)N","US06231795B11","reactant"
"OO","US06231828B11","reactant"
"C([O-])([O-])=O.[Na+].[Na+]","US06231828B11","reactant"
"CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCC(=O)O)OC(=O)CCCCCCCCCCCCCCC","US06231834B11","reactant"
"ON1C(CCC1=O)=O","US06231834B11","reactant"
"C1CCC(CC1)N=C=NC2CCCCC2","US06231834B11","reactant"
"ON1C(CCC1=O)=O","US06231834B12","reactant"
"C1CCC(CC1)N=C=NC2CCCCC2","US06231834B12","reactant"
"OC[C@@H]1CC[C@@H]2N(CCN(C2)C2=NC=CC=N2)C1","US06231833B11","reactant"
"C1(=CC=CC=C1)O","US06231833B11","reactant"
"C1(=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1","US06231833B11","reactant"
"N(=NC(=O)OCC)C(=O)OCC","US06231833B11","reactant"
"ClC1=NC=CC=N1","US06231833B12","reactant"
"FC1=CC=C(OC[C@@H]2CC[C@@H]3N(CCNC3)C2)C=C1","US06231833B12","reactant"
"Cl","US06231833B12","reactant"
"OC[C@@H]1CC[C@@H]2N(CCN(C2)C2=NC=C(C=N2)F)C1","US06231833B13","reactant"
"C[N+]1(CCOCC1)[O-]","US06231833B13","reactant"
