"source","target","role"
"US06231655B12","CC1(OCC(O1)CO)C(F)(F)F","product"
"US06231714B11","C(C(=C)C)(=O)OCC1=CC=C(C=C1)OCC=C","product"
"US06231714B12","C(C=C)OC1=CC=C(CCO)C=C1","product"
"US06231714B13","C(C(=C)C)(=O)OCCOC1=C(C=CC=C1)OCC=C","product"
"US06231714B13","C(C=C)OC1=C(C=CC=C1)OCCO","product"
"US06231784B11","C(CCCCCCCC)C1=C(C=CC=C1)OC","product"
"US06231784B12","C(CCC)OCCOCC1=CC=CC=C1","product"
"US06231795B11","C1C(=CC2=C1C1=CC=CC=C1C=1C=CC=CC21)[Si](NC(C)(C)C)(C)C","product"
"US06231828B11","C(=O)([O-])[O-].C(=O)([O-])[O-].OO.OO.OO.[Na+].[Na+].[Na+].[Na+]","product"
"US06231834B11","C(=O)(NC1CCCCC1)NC1CCCCC1","product"
"US06231834B12","C(=O)(NC1CCCCC1)NC1CCCCC1","product"
"US06231833B11","O(C1=CC=CC=C1)C[C@@H]1CC[C@@H]2N(CCN(C2)C2=NC=CC=N2)C1","product"
"US06231833B12","FC1=CC=C(OC[C@@H]2CC[C@@H]3N(CCN(C3)C3=NC=CC=N3)C2)C=C1","product"
"US06231833B13","C(=O)[C@@H]1CC[C@@H]2N(CCN(C2)C2=NC=C(C=N2)F)C1","product"
"US06231833B14","C1(=CC=CC=C1)C=CC1CCC2N(CCN(C2)C2=NC=C(C=N2)F)C1","product"
"US06231833B15","C1(=CC=CC=C1)CC[C@@H]1CC[C@@H]2N(CCN(C2)C2=NC=C(C=N2)F)C1","product"
"US06231833B16","OCC1CCC2N(CCN(C2)C2=NC=C(C=C2Cl)Cl)C1","product"
"US06231833B17","FC1=CC=C(OCC2CCC3N(CCN(C3)C3=NC=C(C=C3Cl)Cl)C2)C=C1","product"
"US06231833B18","O(C1=CC=CC=C1)CC1CCC2N(CCN(C2)C2=NC=C(C=C2)Cl)C1","product"
"US06231833B19","FC1=CC=C(OC[C@@H]2CC[C@@H]3N(CCN(C3)C3=NC=CC=C3)C2)C=C1","product"
"US06231833B110","FC1=CC=C(OC[C@@H]2CC[C@@H]3N(CCN(C3)C3=NC=C(C=C3)Cl)C2)C=C1","product"
"US06231833B111","FC1=CC=C(OC[C@@H]2CC[C@@H]3N(CCN(C3)C=3N=NC(=CC3)Cl)C2)C=C1","product"
"US06231833B112","OCC1CCC2N(CCN(C2)C2=C(C=C(C=C2)F)C#N)C1","product"
"US06231833B113","FC1=CC=C(OCC2CCC3N(CCN(C3)C3=C(C=C(C=C3)F)C#N)C2)C=C1","product"
"US06231833B114","OC[C@@H]1CC[C@@H]2N(CCN(C2)C2=C(C=C(C=C2)F)[N+](=O)[O-])C1","product"
"US06231833B115","OC[C@@H]1CC[C@@H]2N(CCN(C2)C2=C(C=C(C=C2)F)N)C1","product"
"US06231833B116","FC1=CC=C(OC[C@@H]2CC[C@@H]3N(CCN(C3)C3=C(C=C(C=C3)F)N)C2)C=C1","product"
"US06231833B117","FC1=CC=C(OC[C@@H]2CC[C@@H]3N(CCN(C3)C3=CC=C(C=C3)N)C2)C=C1","product"
"US06231833B118","O(C1=CC=CC=C1)C[C@@H]1CC[C@@H]2N(CCN(C2)C2=CC=CC=C2)C1","product"
"US06231833B119","OCC1CCC2N(CCN(C2)C2=NC(=CC=C2)OC)C1","product"
"US06231833B120","O(C1=CC=CC=C1)CC1CCC2N(CCN(C2)C2=NC(=NC=C2)Cl)C1","product"
"US06231833B121","O(C1=CC=CC=C1)CC1CCC2N(CCN(C2)C2=NC=CN=C2)C1","product"
"US06231833B122","O(C1=CC=CC=C1)CC1CCC2N(CCN(C2)C2=NC(=CN=C2)Cl)C1","product"
"US06231833B123","FC1=CC=C(OCC2CCC3N(CCN(C3)C=3N=NC(=CC3)Cl)C2)C=C1","product"
"US06231833B124","O(C1=CC=CC=C1)CC1CCC2N(CCN(C2)C=2N=NC(=CC2)Cl)C1","product"
"US06231833B125","O(C1=CC=CC=C1)CC1CCC2N(CCN(C2)C2=NC=NC=C2)C1","product"
"US06231833B126","FC1=CC=C(OCC2CCC3N(CCN(C3)C=3N=NC=CC3)C2)C=C1","product"
"US06231833B127","FC=1C=C(OC[C@@H]2CC[C@@H]3N(CCN(C3)C=3N=NC(=CC3)Cl)C2)C=C(C1)F","product"
"US06231833B128","O(C1=CC=CC=C1)C[C@@H]1CC[C@@H]2N(CCN(C2)C2=NC=C(C=C2)Cl)C1","product"
"US06231833B129","ClC=1C=CC(=NC1)N1C[C@H]2N(CC1)C[C@@H](CC2)CN2C(OC1=C2C=CC=C1)=O","product"
"US06231833B130","C(=O)(OC(C)(C)C)N1C[C@H]2N(CC1)C[C@@H](CC2)COS(=O)(=O)C","product"
"US06231833B131","C(=O)(OC(C)(C)C)N1C[C@H]2N(CC1)C[C@@H](CC2)CN2C=CC1=CC(=CC=C21)F","product"
"US06231833B132","FC=1C=C2C=CN(C2=CC1)C[C@@H]1CC[C@@H]2N(CCNC2)C1","product"
"US06231833B134","C(=O)(OC(C)(C)C)N1C[C@H]2N(CC1)C[C@@H](CC2)COS(=O)(=O)C","product"
"US06231833B135","Cl.Cl.C1[C@H]2N(CCN1)C[C@@H](CC2)CN2C(CC1=CC=CC=C21)=O","product"
"US06231833B136","N1=C(N=CC=C1)N1C[C@H]2N(CC1)C[C@@H](CC2)CN2C(CC1=CC=CC=C21)=O","product"
"US06231833B137","FC1=CC=C(OC[C@H]2CC[C@@H]3N(CCN(C3)C3=NC=C(C=N3)F)C2)C=C1","product"
"US06231833B138","FC=1C=C2C(=CN(C2=CC1)C)CC1CCC2N(CCN(C2)C2=NC=CC=N2)C1","product"
"US06231833B139","N1=C(N=CC=C1)N1CC2N(CC1)CC(CC2)CC#N","product"
"US06231833B141","OC[C@H]1CC[C@@H]2N(CCNC2)C1","product"
"US06231833B142","OCC1CCC2N(CCN(C2)C2=NC=CC=N2)C1","product"
"US06231833B143","OC[C@@H]1CC[C@@H]2N(CCN(C2)C2=NC=CC=N2)C1","product"
"US06231833B144","OC[C@@H]1CC[C@@H]2N(CCN(C2)C2=NC=C(C=N2)F)C1","product"
"US06231833B145","FC1=CC=C(OC[C@@H]2CC[C@@H]3N(CCNC3)C2)C=C1","product"
"US06231833B146","C(=O)(OC(C)(C)C)N1C[C@@H]2N(CC1)C[C@H](CC2)COC2=CC=C(C=C2)F","product"
"US06231833B147","Cl.Cl.FC1=CC=C(OC[C@H]2CC[C@H]3N(CCNC3)C2)C=C1","product"
"US06231833B148","FC1=CC=C(OC[C@@H]2CC[C@H]3N(CCNC3)C2)C=C1","product"
"US06231833B149","OCC1CCC2N(CCN(C2)C2=NC=CC=C2)C1","product"
"US06231833B150","C1[C@H]2N(CCN1)C[C@@H](CC2)CN2C(OC1=C2C=CC=C1)=O","product"
"US06231833B151","OC[C@H]1CC[C@@H]2N(CCN(C2)C2=NC=C(C=N2)F)C1","product"
"US06231833B152","OC[C@H]1CC[C@@H]2N(CCN(C2)C2=NC=C(C=C2)Cl)C1","product"
"US06231833B153","OC[C@@H]1CC[C@@H]2N(CCN(C2)C2=NC=C(C=C2)Cl)C1","product"
"US06232060B11","OCC(=O)[C@@H](O)[C@H](O)[C@H](O)CO","product"
"US06232062B12","C(C)(C)N(C(C)C)P(OCCC#N)Cl","product"
"US06232062B13","C(C)(C)N(C(C)C)P(OCCC#N)Cl","product"
"US06232062B14","BrCCCCCCCCCCCCCCCC(=O)O","product"
"US06232258B14","C12C(C3CC(CC(C1)C3)C2)=O","product"
"US06232258B14","OC12C(C3CC(CC(C1)C3)C2)=O","product"
"US06232271B11","NC1=NN(C(=C1C#N)SC)C","product"
"US06232271B12","NC1=NN(C(=C1)SC)C","product"
"US06232271B13","N(N)C1=NN(C(=C1)SC)C","product"
"US06232271B14","C(#N)C=1C=NN(C1C(OCC)OCC)C1=NN(C(=C1)SC)C","product"
"US06232271B15","C(#N)C=1C=NN(C1C(OCC)OCC)C1=NN(C(=C1)SC)C","product"
"US06232271B16","C(#N)C=1C=NN(C1C(OCC)OCC)C1=NN(C(=C1)SC)C","product"
"US06232271B17","C(#N)C=1C=NN(C1C=O)C1=NN(C(=C1Cl)S(=O)(=O)C)C","product"
